model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max,row_index,row_type,row_valid,validation_errors,validation_warnings,method,success,status,message,alpha,beta,a,b,pert_lambda,support_upper_bound_used,fitted_mode,fitted_mass,q_low,q_high,fitted_low_quantile,fitted_high_quantile,mode_error,mass_error,low_error,high_error,loss,unified_score
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,,0.4,0.85,0.6,0.9,0.0,1.0,0,probability,True,,,beta_ls_mass_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7.691674653009383,5.461086464273568,,,,,0.6000016123935071,0.8999943100945306,0.04999999999999999,0.95,0.3613531870849829,0.7930304398549899,1.612393507155474e-06,-5.689905469452583e-06,-0.03864681291501715,-0.05696956014501009,3.497483707322355e-11,0.004739106966579095
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,,0.4,0.85,0.6,0.9,0.0,1.0,0,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7.662677628927888,4.847809261457195,,,,,0.6339076104098333,0.9117026710505911,0.04999999999999999,0.95,0.3836730333338753,0.8200929760464322,0.033907610409833366,0.011702671050591085,-0.01632696666612471,-0.029907023953567813,0.0023107259659810664,0.002447678475699409
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,,0.4,0.85,0.6,0.9,0.0,1.0,0,probability,True,,,beta_concentration,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7.6919938126192315,5.461329208412821,,,,,0.6,0.8999998458157618,0.04999999999999999,0.95,0.36135708853954196,0.7930259022864498,0.0,-1.5418423826574212e-07,-0.03864291146045806,-0.05697409771355022,2.3772779329587138e-14,0.004739322416437743
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Agentscope,0.45,0.68,0.61,0.75,0.0,1.0,1,probability,True,,,beta_ls_mass_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17.250651829153316,11.389972720898983,,,,,0.6099951522766163,0.7499918630718039,0.125,0.875,0.49669526910095774,0.70625824307162,-4.847723383716307e-06,-8.136928196122994e-06,0.046695269100957726,0.026258243071619947,8.97100224738913e-11,0.002869943575329157
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Agentscope,0.45,0.68,0.61,0.75,0.0,1.0,1,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13.555795197857448,9.85862350647425,,,,,0.5863243532880801,0.7352475330067699,0.125,0.875,0.46129174489283153,0.69500011259028,-0.023675646711919907,-0.014752466993230073,0.011291744892831523,0.015000112590280001,0.0009130431276735073,0.00113067841005985
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Agentscope,0.45,0.68,0.61,0.75,0.0,1.0,1,probability,True,,,beta_concentration,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17.252175099746257,11.390734899837772,,,,,0.61,0.7499983028146388,0.125,0.875,0.4967048067673205,0.7062590103393869,0.0,-1.6971853612490762e-06,0.04670480676732047,0.026259010339386823,2.8804381504381573e-12,0.0028708746020572064
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Imaginairy,0.47,0.77,0.62,0.65,0.0,1.0,2,probability,True,,,beta_ls_mass_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5.50489450650699,3.7610994369653215,,,,,0.6199970081937843,0.6499971980542933,0.175,0.825,0.4439005926644408,0.7451775698768712,-2.991806215657533e-06,-2.8019457066763565e-06,-0.026099407335559155,-0.02482243012312879,1.6801804175209116e-11,0.0012973321172868547
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Imaginairy,0.47,0.77,0.62,0.65,0.0,1.0,2,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5.926404928077607,3.8101936040233286,,,,,0.6367662620254643,0.6667609133263004,0.175,0.825,0.463257132155866,0.7551074278427032,0.016766262025464274,0.016760913326300364,-0.006742867844133971,-0.01489257215729678,0.0005483625145302725,0.0008292907300620257
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Imaginairy,0.47,0.77,0.62,0.65,0.0,1.0,2,probability,True,,,beta_concentration,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5.505224593333105,3.7612666862364197,,,,,0.62,0.6500119266572446,0.175,0.825,0.443908624623567,0.7451770459954477,0.0,1.1926657244587524e-05,-0.026091375376432968,-0.024822954004552367,1.4224515302987206e-10,0.001296939056791208
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,librechat,0.56,0.71,0.63,0.7,0.0,1.0,3,probability,True,,,beta_ls_mass_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28.068990961665456,16.89762442435834,,,,,0.6300005415476704,0.700000331317564,0.15000000000000002,0.85,0.5493065027798942,0.6988025340773447,5.415476703740651e-07,3.313175640506927e-07,-0.010693497220105819,-0.011197465922655248,4.0304520753606193e-13,0.00023973412628848162
